u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,lanes,ref,maxspeed,bridge,width,junction,access,simple_model_e
82882228,82882224,0,10080020,residential,False,44.808,Wapiti Loop,"LINESTRING (-111.821096 41.6339694, -111.8211155 41.6343059, -111.8211191 41.634372)",41.6,357.5,3.9,-0.002,0.002,,,,,,,,71010.91760714869
82882228,82882243,0,10084132,residential,False,205.667,Manitoban Lane,"LINESTRING (-111.821096 41.6339694, -111.8214906 41.6339647, -111.8216565 41.6339722, -111.8220115 41.6340024, -111.8221938 41.6340105, -111.8223343 41.6340093, -111.8226367 41.6339811, -111.8228994 41.6339372, -111.8230149 41.6339047, -111.823082 41.6338482, -111.8232165 41.633539)",41.6,254.8,17.8,-0.008,0.008,,,,,,,,323143.5322142058
82882232,82882235,0,10080020,residential,False,117.122,Wapiti Loop,"LINESTRING (-111.8210546 41.6332959, -111.8210301 41.633009, -111.8210527 41.6327818, -111.8211098 41.6324242, -111.8211156 41.6322464)",41.6,182.5,10.1,0.006,0.006,,,,,,,,184309.03426228787
82882232,82882228,0,10080020,residential,False,75.035,Wapiti Loop,"LINESTRING (-111.8210546 41.6332959, -111.8210914 41.6335873, -111.821096 41.6339694)",41.6,357.4,6.5,-0.001,0.001,,,,,,,,118406.6488510706
82882232,82882242,0,10085985,residential,False,148.643,Rocky Mountain Way,"LINESTRING (-111.8210546 41.6332959, -111.8220099 41.6332858, -111.8223597 41.6332822, -111.8225424 41.6333044, -111.8228216 41.6333827)",41.6,273.8,12.9,-0.013,0.013,,,,,,,,233738.63692533245
82882235,82882239,0,10080020,residential,False,319.94999999999993,Wapiti Loop,"LINESTRING (-111.8211156 41.6322464, -111.8210793 41.6320615, -111.8209917 41.6317964, -111.8209658 41.6315907, -111.8209761 41.6315294, -111.821019 41.6314681, -111.8211089 41.6314259, -111.8212128 41.6314326, -111.8219976 41.6316352, -111.822142 41.6316579, -111.8223419 41.6316711, -111.8225289 41.6316773, -111.8226929 41.6317003, -111.8228625 41.6317615, -111.8229924 41.6318453, -111.8230887 41.6319397, -111.823151 41.6320401, -111.8231783 41.632151, -111.8231862 41.6323168)",41.6,272.6,27.7,-0.005,0.005,,,,,,,,502352.99150121544
82882235,82882239,1,10083741,residential,False,173.703,Tule Drive,"LINESTRING (-111.8211156 41.6322464, -111.8216051 41.6322313, -111.821719 41.6322452, -111.8218658 41.6322821, -111.8219866 41.6323152, -111.8221156 41.6323296, -111.8231862 41.6323168)",41.6,272.6,15.0,-0.009,0.009,,,,,,,,273041.4198732371
82882235,82882232,0,10080020,residential,False,117.122,Wapiti Loop,"LINESTRING (-111.8211156 41.6322464, -111.8211098 41.6324242, -111.8210527 41.6327818, -111.8210301 41.633009, -111.8210546 41.6332959)",41.6,2.5,10.1,-0.006,0.006,,,,,,,,184377.43611178643
82882239,82882242,0,10080020,residential,False,123.637,Wapiti Loop,"LINESTRING (-111.8231862 41.6323168, -111.823188 41.6324976, -111.8231683 41.6326463, -111.8231258 41.632782, -111.8228216 41.6333827)",41.6,14.3,10.7,-0.009,0.009,,,,,,,,194578.4726506409
82882239,82882235,0,10080020,residential,False,319.95000000000005,Wapiti Loop,"LINESTRING (-111.8231862 41.6323168, -111.8231783 41.632151, -111.823151 41.6320401, -111.8230887 41.6319397, -111.8229924 41.6318453, -111.8228625 41.6317615, -111.8226929 41.6317003, -111.8225289 41.6316773, -111.8223419 41.6316711, -111.822142 41.6316579, -111.8219976 41.6316352, -111.8212128 41.6314326, -111.8211089 41.6314259, -111.821019 41.6314681, -111.8209761 41.6315294, -111.8209658 41.6315907, -111.8209917 41.6317964, -111.8210793 41.6320615, -111.8211156 41.6322464)",41.6,92.6,27.7,0.005,0.005,,,,,,,,502354.8965908835
82882239,82882235,1,10083741,residential,False,173.70300000000003,Tule Drive,"LINESTRING (-111.8231862 41.6323168, -111.8221156 41.6323296, -111.8219866 41.6323152, -111.8218658 41.6322821, -111.821719 41.6322452, -111.8216051 41.6322313, -111.8211156 41.6322464)",41.6,92.6,15.0,0.009,0.009,,,,,,,,273068.5764200555
82882242,82882243,0,10085985,residential,False,37.137,Rocky Mountain Way,"LINESTRING (-111.8228216 41.6333827, -111.8232165 41.633539)",41.6,297.9,3.2,0.007,0.007,,,,,,,,58993.361364502205
82882242,82882239,0,10080020,residential,False,123.637,Wapiti Loop,"LINESTRING (-111.8228216 41.6333827, -111.8231258 41.632782, -111.8231683 41.6326463, -111.823188 41.6324976, -111.8231862 41.6323168)",41.6,194.3,10.7,0.009,0.009,,,,,,,,194537.28262019999
