osmid,y,x,street_count,elevation,highway,geometry
82934732,41.7133388,-111.8574872,4,1361.041,,POINT (-111.8574872 41.7133388)
82934733,41.7133662,-111.859304,3,1360.482,,POINT (-111.859304 41.7133662)
82934735,41.7133786,-111.8601222,3,1359.81,,POINT (-111.8601222 41.7133786)
82934758,41.7599718,-111.795683,1,1467.067,turning_loop,POINT (-111.795683 41.7599718)
82934764,41.6624424,-111.8416859,1,1399.725,,POINT (-111.8416859 41.6624424)
82934776,41.629872,-111.8191969,4,1469.503,,POINT (-111.8191969 41.629872)
82934893,41.8288681,-111.8090054,1,1460.567,turning_circle,POINT (-111.8090054 41.8288681)
82934897,41.7248658,-111.8307892,1,1380.445,turning_circle,POINT (-111.8307892 41.7248658)
82934900,41.7052668,-111.8023208,1,1484.18,turning_circle,POINT (-111.8023208 41.7052668)
82934904,41.7552005,-111.7945955,3,1463.857,,POINT (-111.7945955 41.7552005)
82934906,41.7551745,-111.7959989,1,1463.254,turning_circle,POINT (-111.7959989 41.7551745)
